English,Chinese,Pinyin,Word Type,CEFR Level
icecream,冰淇淋,bīngqílín,noun,A1,,the icecream
action,行动,xíngdòng,noun,A1,,the action
activity,活动,huódòng,noun,A1,,the activity
actor,演员,yǎnyuán,noun,A1,,the actor
actress,演员,yǎnyuán,noun,A1,,the actress
address,地址,dìzhǐ,noun,A1,,the address
adult,成人,chéngrén,noun,A1,,the adult
advice,建议,jiànyì,noun,A1,,the advice
afternoon,下午,xiàwǔ,noun,A1,,the afternoon
age,年龄,niánlíng,noun,A1,,the age
air,空气,kōngqì,noun,A1,,the air
airport,飞机场,fēijīchǎng,noun,A1,,the airport
animal,动物,dòngwù,noun,A1,,the animal
answer,回答,huídá,noun,A1,,the answer
apartment,公寓,gōngyù,noun,A1,,the apartment
apple,苹果,píngguǒ,noun,A1,,the apple
April,四月,sìyuè,noun,A1,,the April
area,区域,qūyù,noun,A1,,the area
arm,手臂,shǒubì,noun,A1,,the arm
art,艺术,yìshù,noun,A1,,the art
article,文章,wénzhāng,noun,A1,,the article
artist,艺术家,yìshùjiā,noun,A1,,the artist
August,八月,bāyuè,noun,A1,,the August
aunt,阿姨,āyí,noun,A1,,the aunt
autumn,秋天,qiūtiān,noun,A1,,the autumn
baby,婴儿,yīngér,noun,A1,,the baby
back,后退,hòutuì,noun,A1,,the back
bag,包,bāo,noun,A1,,the bag
ball,球,qiú,noun,A1,,the ball
banana,香蕉,xiāngjiāo,noun,A1,,the banana
band,乐队,yuèduì,noun,A1,,the band
bank,银行,yínháng,noun,A1,,the bank
bath,洗澡,xǐzǎo,noun,A1,,the bath
bathroom,浴室,yùshì,noun,A1,,the bathroom
beach,海滩,hǎitān,noun,A1,,the beach
bed,床,chuáng,noun,A1,,the bed
bedroom,卧室,wòshì,noun,A1,,the bedroom
beer,啤酒,píjiǔ,noun,A1,,the beer
beginning,开始,kāishǐ,noun,A1,,the beginning
bicycle,自行车,zìxíngchē,noun,A1,,the bicycle
bike,自行车,zìxíngchē,noun,A1,,the bike
bill,账单,zhàngdān,noun,A1,,the bill
bird,鸟,niǎo,noun,A1,,the bird
birthday,生日,shēngrì,noun,A1,,the birthday
black,黑色的,hēisè de,noun,A1,,the black
blog,博客,bókè,noun,A1,,the blog
blue,蓝色的,lánsè de,noun,A1,,the blue
boat,船,chuán,noun,A1,,the boat
body,身体,shēntǐ,noun,A1,,the body
book,书,shū,noun,A1,,the book
boot,启动,qǐdòng,noun,A1,,the boot
bottle,瓶子,píngzi,noun,A1,,the bottle
box,盒子,hézi,noun,A1,,the box
boy,男生,nánshēng,noun,A1,,the boy
boyfriend,男朋友,nánpéngyou,noun,A1,,the boyfriend
bread,面包,miànbāo,noun,A1,,the bread
break,休息,xiūxi,noun,A1,,the break
breakfast,早餐,zǎocān,noun,A1,,the breakfast
brother,兄弟,xiōngdì,noun,A1,,the brother
brown,棕色的,zōngsè de,noun,A1,,the brown
building,建筑,jiànzhù,noun,A1,,the building
bus,公共汽车,gōnggòngqìchē,noun,A1,,the bus
business,商业,shāngyè,noun,A1,,the business
butter,黄油,huángyóu,noun,A1,,the butter
cafe,咖啡店,kāfēidiàn,noun,A1,,the cafe
cake,蛋糕,dàngāo,noun,A1,,the cake
call,称呼,chēnghu,noun,A1,,the call
camera,相机,xiàngjī,noun,A1,,the camera
capital,首都,shǒudū,noun,A1,,the capital
car,车,chē,noun,A1,,the car
card,卡片,kǎpiàn,noun,A1,,the card
career,职业,zhíyè,noun,A1,,the career
carrot,胡萝卜,húluóbo,noun,A1,,the carrot
cat,猫,māo,noun,A1,,the cat
CD,光盘,guāngpán,noun,A1,,the CD
cent,分,fēn,noun,A1,,the cent
centre,中心,zhōngxīn,noun,A1,,the centre
century,世纪,shìjì,noun,A1,,the century
chair,椅子,yǐzi,noun,A1,,the chair
change,改变,gǎibiàn,noun,A1,,the change
chart,图表,túbiǎo,noun,A1,,the chart
cheese,奶酪,nǎilào,noun,A1,,the cheese
chicken,鸡,jī,noun,A1,,the chicken
child,孩子,háizi,noun,A1,,the child
chocolate,巧克力,qiǎokèlì,noun,A1,,the chocolate
cinema,电影,diànyǐng,noun,A1,,the cinema
city,城市,chéngshì,noun,A1,,the city
class,班级,bānjí,noun,A1,,the class
classroom,课堂,kètáng,noun,A1,,the classroom
clock,钟,zhōng,noun,A1,,the clock
clothes,衣服,yīfú,noun,A1,,the clothes
club,俱乐部,jùlèbù,noun,A1,,the club
coat,外套,wàitào,noun,A1,,the coat
coffee,咖啡,kāfēi,noun,A1,,the coffee
cold,寒冷的,hánlěng de,noun,A1,,the cold
college,大学,dàxué,noun,A1,,the college
colour,颜色,yánsè,noun,A1,,the colour
company,公司,gōngsī,noun,A1,,the company
computer,电脑,diànnǎo,noun,A1,,the computer
concert,音乐会,yīnyuèhuì,noun,A1,,the concert
conversation,对话,duìhuà,noun,A1,,the conversation
cooking,烹饪,pēngrèn,noun,A1,,the cooking
cost,成本,chéngběn,noun,A1,,the cost
country,国家,guójiā,noun,A1,,the country
course,课程,kèchéng,noun,A1,,the course
cousin,表哥,biǎogē,noun,A1,,the cousin
cow,奶牛,nǎiniú,noun,A1,,the cow
cream,奶油,nǎiyóu,noun,A1,,the cream
culture,文化,wénhuà,noun,A1,,the culture
cup,杯子,bēizi,noun,A1,,the cup
customer,顾客,gùkè,noun,A1,,the customer
dad,爸爸,bàba,noun,A1,,the dad
dance,舞蹈,wǔdǎo,noun,A1,,the dance
dancer,舞蹈家,wǔdǎojiā,noun,A1,,the dancer
dancing,跳舞,tiàowǔ,noun,A1,,the dancing
date,日期,rìqī,noun,A1,,the date
